CoreFX,CoreCLR,Roslyn,Rust,Kubernetes,KubernetesSum
2,12,76,9,28,0.5817028826
5,3,95,17,28,0.5820551858
21,2,5,47,28,0.582407489
1,1,2,1,28,0.5827597921
2,2,70,21,28,0.5831120953
5,20,4,1,28,0.5834643985
2,2,,32,28,0.5838167017
1,1,,8,28,0.5841690049
1,9,,8,28,0.5845213081
30,,,1,28,0.5848736112
5,,,32,28,0.5852259144
,,,9,28,0.5855782176
,,,1,28,0.5859305208
,,,1,28,0.586282824
,,,,28,0.5866351271
,,,,28,0.5869874303
,,,,28,0.5873397335
,,,,28,0.5876920367
,,,,28,0.5880443399
,,,,28,0.5883966431
,,,,28,0.5887489462
,,,,28,0.5891012494
,,,,28,0.5894535526
,,,,28,0.5898058558
,,,,28,0.590158159
,,,,28,0.5905104621
,,,,28,0.5908627653
,,,,28,0.5912150685
,,,,28,0.5915673717
,,,,28,0.5919196749
,,,,28,0.5922719781
,,,,28,0.5926242812
,,,,28,0.5929765844
7,13,17,2,27,0.5933163053
1,93,1,6,27,0.5936560263
6,2,23,1,27,0.5939957472
30,2,22,2,27,0.5943354681
7,75,27,1,27,0.594675189
15,2,9,2,27,0.59501491
13,2,22,1,27,0.5953546309
8,2,24,12,27,0.5956943518
7,1,4,3,27,0.5960340728
1,21,6,13,27,0.5963737937
1,2,10,12,27,0.5967135146
4,5,13,14,27,0.5970532355
3,11,7,12,27,0.5973929565
20,34,1,1,27,0.5977326774
9,1,,4,27,0.5980723983
18,47,,1,27,0.5984121192
3,12,,1,27,0.5987518402
15,,,25,27,0.5990915611
15,,,15,27,0.599431282
33,,,16,27,0.5997710029
,,,8,27,0.6001107239
,,,12,27,0.6004504448
,,,,27,0.6007901657
,,,,27,0.6011298866
,,,,27,0.6014696076
,,,,27,0.6018093285
,,,,27,0.6021490494
,,,,27,0.6024887703
,,,,27,0.6028284913
,,,,27,0.6031682122
,,,,27,0.6035079331
,,,,27,0.603847654
,,,,27,0.604187375
,,,,27,0.6045270959
,,,,27,0.6048668168
,,,,27,0.6052065377
,,,,27,0.6055462587
,,,,27,0.6058859796
,,,,27,0.6062257005
,,,,27,0.6065654214
,,,,27,0.6069051424
,,,,27,0.6072448633
,,,,27,0.6075845842
,,,,27,0.6079243051
,,,,27,0.6082640261
,,,,27,0.608603747
26,72,17,1,26,0.6089308857
3,1,62,10,26,0.6092580243
1,3,1,1,26,0.609585163
14,8,81,1,26,0.6099123017
5,7,48,4,26,0.6102394403
1,1,5,2,26,0.610566579
2,19,35,18,26,0.6108937177
15,1,1,5,26,0.6112208563
31,2,32,1,26,0.611547995
32,12,1,23,26,0.6118751337
8,84,14,19,26,0.6122022724
1,7,12,6,26,0.612529411
28,5,19,1,26,0.6128565497
7,6,11,46,26,0.6131836884
2,1,25,18,26,0.613510827
28,19,20,1,26,0.6138379657
23,24,,3,26,0.6141651044
12,3,,2,26,0.614492243
1,6,,3,26,0.6148193817
1,1,,1,26,0.6151465204
9,,,5,26,0.615473659
1,,,1,26,0.6158007977
43,,,23,26,0.6161279364
30,,,2,26,0.6164550751
,,,9,26,0.6167822137
,,,3,26,0.6171093524
,,,,26,0.6174364911
,,,,26,0.6177636297
,,,,26,0.6180907684
,,,,26,0.6184179071
,,,,26,0.6187450457
,,,,26,0.6190721844
,,,,26,0.6193993231
,,,,26,0.6197264617
,,,,26,0.6200536004
,,,,26,0.6203807391
,,,,26,0.6207078778
,,,,26,0.6210350164
,,,,26,0.6213621551
,,,,26,0.6216892938
,,,,26,0.6220164324
,,,,26,0.6223435711
,,,,26,0.6226707098
,,,,26,0.6229978484
,,,,26,0.6233249871
,,,,26,0.6236521258
,,,,26,0.6239792644
,,,,26,0.6243064031
,,,,26,0.6246335418
